country,t,onset2COWCS,decade,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,oilreserves_full,oilreserves,oilreserves_public,treat_agri,treat_mine,treat_fuel,treat_metal,iv_transport,iv_agri,iv_mine,iv_fuel,iv_metal
ERI,1991,0.0,7.0,,,0.0065240003,0.004253,0.00653,,0.0,,,-0.00549379,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ESP,1991,0.0,7.0,0.01,0.030726934,0.004165,0.004514,0.004132,0.0,0.0,2.8081238e-05,2.8077513e-05,-0.0021132082,-0.0042915065,20000.0,,0.02,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EST,1991,0.0,7.0,0.008,,0.0050620004,0.004985,0.004944,0.0,0.0,-6.248057e-05,-6.248057e-05,-0.0021132082,-0.13138756,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
ETH,1991,,7.0,0.005,0.042541932,0.007235,0.006249,0.008072999,0.0,0.0,,,-0.00549379,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FIN,1991,0.0,7.0,0.01,-0.017719569,0.001315,0.0025310002,0.001412,0.0,0.0,5.4709613e-05,5.4709613e-05,-0.0021132082,-0.09743617,0.0,0.0,0.0,1.0,,,1.0,,0.0,0.0,1.0,0.0
FJI,1991,0.0,7.0,0.0075,-0.0091629075,0.005479,0.005682,0.005479,0.01,0.0,,,-0.00530684,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0
GAB,1991,0.0,7.0,0.003,-0.026592601,0.00769,0.006674,0.007821,0.0,1.0,0.00023536384,0.00023536384,-0.00549379,0.02871061,2.7668355,2.7668355,0.803,,,1.0,,1.0,0.0,0.0,1.0,0.0
GBR,1991,0.0,7.0,0.01,-0.0022314354,0.001211,0.0069440003,0.000532,0.01,0.0,2.9928982e-05,2.9928982e-05,-0.0021132082,-0.03571171,18.07498,18.07498,3.9937499,,1.0,1.0,1.0,,0.0,0.0,1.0,0.0
GEO,1991,1.0,7.0,0.007,0.041075896,0.004923,0.0065429998,0.004749,0.0,0.0,-1.116097e-05,-1.116097e-05,-0.006785229,-0.21137737,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GHA,1991,0.0,7.0,0.003,-0.095670156,0.0067330003,0.007987,0.006731,0.01,0.0,0.0002828464,0.00028284267,-0.00549379,0.015845148,500.0,,0.0005,0.0,,0.0,,0.0,0.0,0.0,1.0,0.0
GIN,1991,0.0,7.0,0.0025,0.011631508,0.007389,0.002649,0.007725,0.0,0.0,0.0006853342,0.00068533793,-0.00549379,-0.05674032,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,1.0,0.0
GMB,1991,0.0,7.0,0.009,-0.095670156,0.007864,0.00097000005,0.008076,0.01,0.0,0.00038497895,0.00038498268,-0.00549379,-0.027900148,0.0,0.0,0.0,,,,,,0.0,0.0,1.0,0.0
GRC,1991,0.0,7.0,0.01,0.0308191,0.001576,0.00153,0.00029999999,0.0,0.0,0.000119015574,0.000119015574,-0.0021132082,-0.009704318,30000.0,,0.03,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GRL,1991,0.0,7.0,,,,0.004592,0.002188,0.0,0.0,,,-0.0077426583,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
GTM,1991,0.0,7.0,0.0065,0.037400477,0.005122,0.003753,0.004586,0.0,0.0,0.00027175993,0.00027175993,-0.0055420846,-0.006621482,36205.0,,0.036205,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0
GUY,1991,0.0,7.0,0.0015,0.008329091,0.006195,0.007875999,0.000688,0.01,0.0,,,-0.0055420846,,0.0,0.0,0.0,,,,,,0.0,0.0,1.0,0.0
HKG,1991,0.0,7.0,,-0.095670156,0.00062,0.004191,0.002128,0.01,0.0,0.000111959875,0.000111959875,-0.006785229,-0.0030013323,0.0,0.0,0.0,1.0,1.0,,0.0,,0.0,0.0,1.0,0.0
HND,1991,0.0,7.0,0.008,0.03966511,0.001867,0.002357,0.000553,0.0,0.0,0.00028561056,0.00028561056,-0.0055420846,-0.008027147,0.0,0.0,0.0,0.0,,,,,0.0,0.0,1.0,0.0
HRV,1991,0.0,7.0,0.0035,,0.00369,0.004447,0.00076300005,,0.0,,,-0.0021132082,,0.44773474,0.44773474,,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0
HTI,1991,0.0,7.0,0.0015,0.027343675,0.00095,0.004704,,0.0,0.0,0.00018120557,0.0001812093,-0.0055420846,-0.011350479,0.0,0.0,0.0,,1.0,1.0,,,0.0,0.0,1.0,0.0
